RegCode,Population,Year
NCR,11855975,2010
CAR,1616867,2010
I,4748372,2010
II,3229163,2010
III,10137737,2010
IV-A,12609803,2010
MIMAROPA,2744671,2010
V,540411,2010
VI,7102438,2010
VII,6800180,2010
VIII,4101322,2010
IX,3407353,2010
X,4297323,2010
XI,4468563,2010
XII,4109571,2010
XIII,2429224,2010
BARMM,3256140,2010
NCR,12877253,2015
CAR,1722006,2015
I,5026128,2015
II,3451410,2015
III,11218177,2015
IV-A,14414774,2015
MIMAROPA,2963360,2015
V,5796989,2015
VI,753383,2015
VII,7396898,2015
VIII,4440150,2015
IX,3629783,2015
X,4689302,2015
XI,489318,2015
XII,4545276,2015
XIII,2596709,2015
BARMM,3781387,2015
NCR,13484462,2020
CAR,1797660,2020
I,5301139,2020
II,3685744,2020
III,12422172,2020
IV-A,16195042,2020
MIMAROPA,3228558,2020
V,6082165,2020
VI,7954723,2020
VII,8081988,2020
VIII,4547150,2020
IX,3875576,2020
X,5022768,2020
XI,5243536,2020
XII,4901486,2020
XIII,2804788,2020
BARMM,4404288,2020
